date,namespace,contract_address,daily_incoming_txs,daily_active_users,daily_gas_used,daily_gas_cost_sei,daily_rank_within_namespace
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x9e0f3349580ebdfd546effb0def17100c60a7af9,2,1,203331,0.000427226855132907,4
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x0c721a434d862817aa33ab322117832b33181566,2,1,203217,0.000426804604866447,5
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x69e2edd60bbcd42fd5ed549599de249a9a34b98b,2,1,203033,0.00043016581602714,6
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x48904b7b93f4af97a687168fdbfaab80f28eae54,2,1,202912,0.000426169763442624,7
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x882f62fe8e9594470d1da0f70bc85096f6c60423,2,1,202804,0.0004258884,8
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x9788c190c55a1c6e20597d52506bd49bb758e984,2,1,196244,0.000412115711911866,9
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0xc6dbf525d0ecf4b34b7ec8e2869256eb12414865,2,1,188091,0.00039499917167809,10
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x95e351f268918cf85391857d91f3f63cd04215d5,2,1,152610,0.00032051167277868,11
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x2fee090f5867169484fddd99c3a098df115b5801,2,1,152076,0.000319362561989844,12
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x3e00dd875fef6ce2209007c1e625d9a656e32556,2,1,142052,0.000298333356368756,13
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0xd055cce7afb85c3cffb3d295640e8f9c5d18b145,2,1,141850,0.000298447695387541,14
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0xe0f20947365d2fcf5fabd14ad4415ab18191bd3a,2,1,141844,0.0002978724,15
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x1d7267b9c9b14f755f9eb316d05dfd8810fe86e8,2,1,123704,0.00025984168820344,16
2025-01-30 00:00:00.000 UTC,gamma,0xfe4bb996926aca85c9747bbec886ec2a3f510c66,29,1,22857246,0.03434383531863106,1
2025-01-30 00:00:00.000 UTC,gnosis_safe,0x40a2accbd92bca938b02010e17a5b8929b49130d,1,1,297890,0.00033212416611497,1
2025-01-30 00:00:00.000 UTC,gnosis_safe,0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67,1,1,293131,0.0003810703,2
2025-01-30 00:00:00.000 UTC,hyperlane_v3,0x2f2afae1139ce54fefc03593fee8ab2adf4a85a7,150,2,27703079,2.798010979,1
2025-01-30 00:00:00.000 UTC,hyperlane_v3,0xfc62def1f08793abf0e67f69257c6be258194f72,11,1,411620,0.04157362,2
2025-01-30 00:00:00.000 UTC,jelly_swap,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,1134,95,171067409,0.2217526257226137,1
2025-01-30 00:00:00.000 UTC,layer zero,0xe1844c5d63a9543023008d332bd3d2e6f1fe1043,117,1,8999650,0.012178038875132809,1
2025-01-30 00:00:00.000 UTC,layerzero,0x3c2269811836af69497e5f486a85d7316753cf62,2128,1,81178740,0.11303596852979493,1
2025-01-30 00:00:00.000 UTC,layerzero,0xc097ab8cd7b053326dfe9fb3e3a31a0cce3b526f,132,1,14767168,0.01993672739778858,2
2025-01-30 00:00:00.000 UTC,lifi,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,176,123,90825114,0.11006379589039146,1
2025-01-30 00:00:00.000 UTC,lzv2,0x1a44076050125825900e736c501f859c50fe728c,4,1,353435,0.000893047121018721,1
2025-01-30 00:00:00.000 UTC,nucleus,0x97d0b97a9fa017f8ad2565a5c6aed5745f3918b9,3,3,1202454,0.001415136157425028,1
2025-01-30 00:00:00.000 UTC,nucleus,0x9b99d4584a3858c639f94fe055db9e94017fe009,1,1,383218,0.000776652025867014,2
